MATRIZ DE CASOS DE PRUEBA FUNCIONALES - SISTEMA DE PRESTAMOS SENA

ID    | Módulo         | Funcionalidad         | Descripción                                      | Precondiciones             | Datos de Entrada              | Pasos de Ejecución                                                                 | Resultado Esperado
------|----------------|-----------------------|--------------------------------------------------|---------------------------|-------------------------------|-----------------------------------------------------------------------------------|-------------------------------------------------------
CP-01 | Autenticación  | Login de Usuario      | Validar acceso con credenciales SENA            | Usuario registrado en BD. | Correo @sena.edu.co y clave. | 1. Ir a login. 2. Ingresar credenciales. 3. Click en "Entrar".                    | Redirección al Dashboard Admin o Vista Aprendiz.
CP-02 | Autenticación  | Control de Acceso     | Impedir que un aprendiz entre a rutas de Admin. | Usuario con rol Aprendiz. | URL: /admin/elementos         | 1. Iniciar sesión como aprendiz. 2. Intentar entrar a URL de administrador.       | Redirección al Dashboard de usuario con error 403.
CP-03 | Inventario     | Importar Excel        | Validar carga masiva de 116+ elementos.         | Archivo .xlsx con formato. | Excel con nombres/códigos.    | 1. Ir a Importar. 2. Subir archivo. 3. Procesar carga.                            | Elementos creados y auto-categorizados correctamente.
CP-04 | Inventario     | Consultar/Filtrar     | Listar elementos filtrados por categoría.       | Existen datos en la BD.    | Filtro: "Tecnología".         | 1. Entrar a Inventario. 2. Seleccionar categoría "Tecnología".                    | La tabla solo muestra elementos de tecnología.
CP-05 | Préstamos      | Solicitar Préstamo    | Validar que un aprendiz pida un elemento.       | Elemento "Disponible".    | ID de elemento, Fecha fin.    | 1. Buscar elemento. 2. Click en "Solicitar". 3. Llenar fecha y enviar.            | Solicitud enviada y estado cambia a "Pendiente".
CP-06 | Admin Préstamo | Aprobar Solicitud     | Gestor aprueba salida de material.              | Solicitud en estado "Pendiente". | Acción: "Aprobar".           | 1. Ir a Préstamos Pendientes. 2. Click en "Aceptar".                              | El elemento pasa a "Prestado" y el aprendiz es notificado.
CP-07 | Validaciones   | Errores de Formulario | Validar campos obligatorios en nuevo elemento.  | Formulario de creación.   | Campos vacíos (sin código).   | 1. Intentar guardar elemento sin código SENA.                                     | Mensaje: "El código SENA es obligatorio" en rojo.
CP-08 | Navegación     | Sidebar Dinámico      | Flujo entre módulos del sistema.                | Sesión de Admin activa.   | Click en iconos laterales.    | 1. Ir a Usuarios. 2. Ir a Sanciones. 3. Ir a Backups.                             | Cambio de vista instantáneo y fluido (Alpine.js).
CP-10 | Reportes/PDF   | Generar Inventario    | Exportar lista de activos a PDF.                | Datos en inventario.       | Botón "Exportar PDF".         | 1. Click en botón Exportar en Inventario.                                         | Se descarga archivo PDF con logo SENA y tabla.
CP-11 | Sanciones      | Control de Mora       | Bloqueo automático por entrega tardía.          | Préstamo vencido hoy.     | Fecha actual > Fecha tope.    | 1. El sistema detecta fecha vencida en cron.                                      | El usuario queda inhabilitado para nuevos préstamos.
